title,body,date,replies
"Toyota Boshoku America - R&D Center Hiring in Novi, Michigan","Toyota Boshoku America is Hiring at our Research & Development Center in Novi, Michigan. Current Openings: Technical Sales Engineer Regulatory Affairs Specialist Senior Materials Engineer Prototype Quality Specialist Lead Engineer - Seats Apply...
read more",2019-02-19,1
GM is investing $36 million into the Lansing Delta Township plant,"Just came across this article and I haven’t seen anyone posting it here so here’s the link. Not good news in terms of creating jobs though, as the CEO stated that GM products need to sell in order to create jobs. So was that the brilliant plan...
read more",2019-02-19,1
God only knows why they think quality or responsiveness will change,"If they outsource IT again that will be funny. When they insourced, they hired all the contractors from HP, thinking theyd do a better job if they were GM employees. If they outsource again, thinking contractors will do a better job than employees...
read more",2019-02-19,8
"For those leaving Feb 28th, can we still use our employee discount/appreciation certificate?","Would we need to use our discount/certificate by the end of the month, is our certificate good until it expires in a year, or did we lose out discount/certificate when we were walked out?",2019-02-19,7
Why are there jobs posted internally if GM has to DOWNSIZE,"This whole episode has me baffled. GM let's a bunch of good and bad folks go. Now we keep the jobs open and let the released apply. How does this DOWNSIZE the company if we are simply keeping all of the 8th level and higher by bringing them right...
read more",2019-02-19,8
Letter vs severance info.,"So. The letter from John hater says. You are employee through Feb 28. And pay through 4/9 . But the severance package says. 2 weeks pay forevery year worked. Is the 2 weeks per year starting after the 2/28 or 4/9. The 2 documents seem to be...
read more",2019-02-19,8
Who is leaving after February 28th?,"For those of you who found another job raise your hand! For those of you who are interviewing, raise your hand! For those of you who are seriously thinking about leaving raise your hand! For those of you who think GM is not loyal to their employees...
read more",2019-02-19,7
Where to apply for a plant job in the greater Detroit region?,"I was axed from GM recently. I’m a plant worker and I’m just getting the picture how the job market is tight. GM is going through layoffs, the fact that Ford isn’t laying off in the US certainly doesn’t mean that they’re hiring. As far as I can see...
read more",2019-02-18,8
What makes them so sure this is the right way?,"Change isn't necessarily good, and what makes them so sure that this reorg of the company is something that will bring long term profitability and growth? GM didn’t make very good regular cars lately, whos to say they will make good electric cars...
read more",2019-02-18,4
GM Severance Program Release Agreement,"So I was laid off like a bunch of others and given a packet. A bunch of it did not apply to me, but I know there is one stapled part that does: GM Severance Program Release Agreement. For this we have two (1 for our copy and 1 to mail to GM) copies...
read more",2019-02-18,3
